date,indeed,isPartial,State
2018-12-23,44,False,AR
2018-12-30,82,False,AR
2015-01-04,64,False,CA
2015-01-11,74,False,CA
2015-01-18,61,False,CA
2015-01-25,68,False,CA
2015-02-01,59,False,CA
2015-02-08,68,False,CA
2015-02-15,65,False,CA
2015-02-22,63,False,CA
2015-03-01,62,False,CA
2015-03-08,61,False,CA
2015-03-15,70,False,CA
2015-03-22,68,False,CA
2015-03-29,70,False,CA
2015-04-05,65,False,CA
2015-04-12,59,False,CA
2015-04-19,60,False,CA
2015-04-26,54,False,CA
2015-05-03,59,False,CA
2015-05-10,66,False,CA
2015-05-17,67,False,CA
2015-05-24,75,False,CA
2015-05-31,64,False,CA
2015-06-07,62,False,CA
2015-06-14,65,False,CA
2015-06-21,66,False,CA
2015-06-28,62,False,CA
2015-07-05,63,False,CA
2015-07-12,68,False,CA
2015-07-19,62,False,CA
2015-07-26,76,False,CA
2015-08-02,71,False,CA
2015-08-09,76,False,CA
2015-08-16,65,False,CA
2015-08-23,68,False,CA
2015-08-30,57,False,CA
2015-09-06,57,False,CA
2015-09-13,59,False,CA
2015-09-20,66,False,CA
2015-09-27,61,False,CA
2015-10-04,54,False,CA
2015-10-11,58,False,CA
2015-10-18,61,False,CA
2015-10-25,65,False,CA
2015-11-01,63,False,CA
2015-11-08,60,False,CA
2015-11-15,58,False,CA
2015-11-22,39,False,CA
2015-11-29,53,False,CA
2015-12-06,51,False,CA
2015-12-13,47,False,CA
2015-12-20,45,False,CA
2015-12-27,51,False,CA
2016-01-03,61,False,CA
2016-01-10,62,False,CA
2016-01-17,67,False,CA
2016-01-24,61,False,CA
2016-01-31,63,False,CA
2016-02-07,62,False,CA
2016-02-14,57,False,CA
2016-02-21,65,False,CA
2016-02-28,63,False,CA
2016-03-06,58,False,CA
2016-03-13,60,False,CA
2016-03-20,57,False,CA
2016-03-27,59,False,CA
2016-04-03,56,False,CA
2016-04-10,58,False,CA
2016-04-17,58,False,CA
2016-04-24,67,False,CA
2016-05-01,62,False,CA
2016-05-08,66,False,CA
2016-05-15,65,False,CA
2016-05-22,60,False,CA
2016-05-29,68,False,CA
2016-06-05,66,False,CA
2016-06-12,65,False,CA
2016-06-19,70,False,CA
2016-06-26,64,False,CA
2016-07-03,67,False,CA
2016-07-10,68,False,CA
2016-07-17,67,False,CA
2016-07-24,72,False,CA
2016-07-31,72,False,CA
2016-08-07,71,False,CA
2016-08-14,66,False,CA
2016-08-21,71,False,CA
2016-08-28,71,False,CA
2016-09-04,60,False,CA
2016-09-11,64,False,CA
2016-09-18,62,False,CA
2016-09-25,69,False,CA
2016-10-02,62,False,CA
2016-10-09,63,False,CA
2016-10-16,67,False,CA
2016-10-23,62,False,CA
2016-10-30,62,False,CA
2016-11-06,59,False,CA
2016-11-13,64,False,CA
2016-11-20,48,False,CA
2016-11-27,63,False,CA
2016-12-04,61,False,CA
2016-12-11,55,False,CA
2016-12-18,54,False,CA
2016-12-25,48,False,CA
2017-01-01,72,False,CA
2017-01-08,71,False,CA
2017-01-15,76,False,CA
2017-01-22,72,False,CA
2017-01-29,71,False,CA
2017-02-05,69,False,CA
2017-02-12,66,False,CA
2017-02-19,67,False,CA
2017-02-26,67,False,CA
2017-03-05,73,False,CA
2017-03-12,68,False,CA
2017-03-19,77,False,CA
2017-03-26,81,False,CA
2017-04-02,76,False,CA
2017-04-09,78,False,CA
2017-04-16,84,False,CA
2017-04-23,81,False,CA
2017-04-30,76,False,CA
2017-05-07,81,False,CA
2017-05-14,76,False,CA
2017-05-21,80,False,CA
2017-05-28,75,False,CA
2017-06-04,81,False,CA
2017-06-11,75,False,CA
2017-06-18,81,False,CA
2017-06-25,80,False,CA
2017-07-02,72,False,CA
2017-07-09,83,False,CA
2017-07-16,80,False,CA
2017-07-23,84,False,CA
2017-07-30,100,False,CA
2017-08-06,91,False,CA
2017-08-13,86,False,CA
2017-08-20,84,False,CA
2017-08-27,78,False,CA
2017-09-03,71,False,CA
2017-09-10,79,False,CA
2017-09-17,81,False,CA
2017-09-24,85,False,CA
