date,resume,isPartial,State
2016-07-03,69,False,CA
2016-07-10,68,False,CA
2016-07-17,70,False,CA
2016-07-24,69,False,CA
2016-07-31,77,False,CA
2016-08-07,68,False,CA
2016-08-14,76,False,CA
2016-08-21,77,False,CA
2016-08-28,71,False,CA
2016-09-04,77,False,CA
2016-09-11,77,False,CA
2016-09-18,79,False,CA
2016-09-25,68,False,CA
2016-10-02,72,False,CA
2016-10-09,70,False,CA
2016-10-16,73,False,CA
2016-10-23,67,False,CA
2016-10-30,71,False,CA
2016-11-06,50,False,CA
2016-11-13,63,False,CA
2016-11-20,46,False,CA
2016-11-27,61,False,CA
2016-12-04,61,False,CA
2016-12-11,57,False,CA
2016-12-18,45,False,CA
2016-12-25,46,False,CA
2017-01-01,68,False,CA
2017-01-08,82,False,CA
2017-01-15,75,False,CA
2017-01-22,82,False,CA
2017-01-29,78,False,CA
2017-02-05,72,False,CA
2017-02-12,70,False,CA
2017-02-19,79,False,CA
2017-02-26,80,False,CA
2017-03-05,81,False,CA
2017-03-12,77,False,CA
2017-03-19,77,False,CA
2017-03-26,77,False,CA
2017-04-02,80,False,CA
2017-04-09,71,False,CA
2017-04-16,73,False,CA
2017-04-23,76,False,CA
2017-04-30,76,False,CA
2017-05-07,84,False,CA
2017-05-14,75,False,CA
2017-05-21,75,False,CA
2017-05-28,72,False,CA
2017-06-04,75,False,CA
2017-06-11,69,False,CA
2017-06-18,73,False,CA
2017-06-25,79,False,CA
2017-07-02,58,False,CA
2017-07-09,76,False,CA
2017-07-16,72,False,CA
2017-07-23,74,False,CA
2017-07-30,79,False,CA
2017-08-06,76,False,CA
2017-08-13,78,False,CA
2017-08-20,68,False,CA
2017-08-27,80,False,CA
2017-09-03,67,False,CA
2017-09-10,74,False,CA
2017-09-17,73,False,CA
2017-09-24,72,False,CA
