date,harvard,isPartial,State
2011-02-01,95,False,DE
2011-03-01,85,False,DE
2011-04-01,33,False,DE
2011-05-01,32,False,DE
2011-06-01,100,False,DE
2011-07-01,61,False,DE
2011-08-01,48,False,DE
2011-09-01,24,False,DE
2011-10-01,76,False,DE
2011-11-01,68,False,DE
2011-12-01,52,False,DE
2012-01-01,49,False,DE
2012-02-01,57,False,DE
2012-03-01,56,False,DE
2012-04-01,66,False,DE
2012-05-01,42,False,DE
2012-06-01,83,False,DE
2012-07-01,56,False,DE
2012-08-01,68,False,DE
2012-09-01,74,False,DE
2012-10-01,43,False,DE
2012-11-01,50,False,DE
2012-12-01,37,False,DE
2013-01-01,51,False,DE
2013-02-01,77,False,DE
2013-03-01,76,False,DE
2013-04-01,84,False,DE
2013-05-01,44,False,DE
2013-06-01,24,False,DE
2013-07-01,18,False,DE
2013-08-01,43,False,DE
2013-09-01,31,False,DE
2013-10-01,64,False,DE
2013-11-01,47,False,DE
2013-12-01,49,False,DE
2014-01-01,64,False,DE
2014-02-01,60,False,DE
2014-03-01,44,False,DE
2014-04-01,32,False,DE
2014-05-01,76,False,DE
2014-06-01,77,False,DE
2014-07-01,50,False,DE
2014-08-01,60,False,DE
2014-09-01,22,False,DE
2014-10-01,76,False,DE
2014-11-01,52,False,DE
2014-12-01,60,False,DE
2015-01-01,76,False,DE
2015-02-01,43,False,DE
2015-03-01,45,False,DE
2015-04-01,47,False,DE
2015-05-01,73,False,DE
2015-06-01,40,False,DE
2015-07-01,38,False,DE
2015-08-01,44,False,DE
2015-09-01,42,False,DE
2015-10-01,34,False,DE
2015-11-01,34,False,DE
2015-12-01,70,False,DE
2016-01-01,77,False,DE
2016-02-01,37,False,DE
2016-03-01,35,False,DE
2016-04-01,85,False,DE
2016-05-01,34,False,DE
2016-06-01,33,False,DE
2016-07-01,28,False,DE
2016-08-01,20,False,DE
2016-09-01,30,False,DE
2016-10-01,46,False,DE
2016-11-01,26,False,DE
2016-12-01,44,False,DE
2017-01-01,42,False,DE
2017-02-01,33,False,DE
2017-03-01,43,False,DE
2017-04-01,53,False,DE
2017-05-01,66,False,DE
2017-06-01,34,False,DE
2017-07-01,39,False,DE
2017-08-01,40,False,DE
2017-09-01,51,False,DE
2017-10-01,58,False,DE
2017-11-01,40,False,DE
2017-12-01,26,False,DE
2018-01-01,32,False,DE
2018-02-01,65,False,DE
2018-03-01,28,False,DE
2018-04-01,36,False,DE
2018-05-01,59,False,DE
2018-06-01,58,False,DE
2018-07-01,31,False,DE
2018-08-01,38,False,DE
2018-09-01,51,False,DE
2018-10-01,48,False,DE
2018-11-01,52,False,DE
2018-12-01,58,False,DE
2019-01-01,32,False,DE
2011-01-01,90,False,FL
2011-02-01,86,False,FL
2011-03-01,94,False,FL
2011-04-01,79,False,FL
2011-05-01,85,False,FL
2011-06-01,68,False,FL
2011-07-01,70,False,FL
2011-08-01,70,False,FL
2011-09-01,66,False,FL
2011-10-01,86,False,FL
2011-11-01,100,False,FL
2011-12-01,100,False,FL
2012-01-01,84,False,FL
2012-02-01,96,False,FL
2012-03-01,84,False,FL
2012-04-01,82,False,FL
2012-05-01,92,False,FL
2012-06-01,90,False,FL
2012-07-01,70,False,FL
2012-08-01,84,False,FL
2012-09-01,86,False,FL
2012-10-01,80,False,FL
2012-11-01,72,False,FL
2012-12-01,73,False,FL
2013-01-01,73,False,FL
2013-02-01,74,False,FL
2013-03-01,87,False,FL
2013-04-01,70,False,FL
2013-05-01,72,False,FL
2013-06-01,61,False,FL
2013-07-01,59,False,FL
2013-08-01,66,False,FL
2013-09-01,77,False,FL
2013-10-01,68,False,FL
2013-11-01,73,False,FL
2013-12-01,86,False,FL
2014-01-01,81,False,FL
2014-02-01,72,False,FL
2014-03-01,81,False,FL
2014-04-01,77,False,FL
2014-05-01,77,False,FL
2014-06-01,68,False,FL
2014-07-01,64,False,FL
2014-08-01,68,False,FL
2014-09-01,72,False,FL
2014-10-01,81,False,FL
2014-11-01,85,False,FL
2014-12-01,74,False,FL
2015-01-01,78,False,FL
2015-02-01,78,False,FL
2015-03-01,86,False,FL
2015-04-01,79,False,FL
2015-05-01,74,False,FL
2015-06-01,78,False,FL
2015-07-01,70,False,FL
2015-08-01,67,False,FL
2015-09-01,72,False,FL
2015-10-01,79,False,FL
2015-11-01,82,False,FL
2015-12-01,83,False,FL
2016-01-01,72,False,FL
2016-02-01,73,False,FL
2016-03-01,74,False,FL
2016-04-01,70,False,FL
2016-05-01,84,False,FL
2016-06-01,68,False,FL
2016-07-01,54,False,FL
2016-08-01,66,False,FL
2016-09-01,67,False,FL
2016-10-01,56,False,FL
2016-11-01,71,False,FL
2016-12-01,70,False,FL
2017-01-01,76,False,FL
2017-02-01,74,False,FL
2017-03-01,71,False,FL
2017-04-01,67,False,FL
2017-05-01,69,False,FL
2017-06-01,68,False,FL
2017-07-01,55,False,FL
