date,participants,policy,isPartial,State
2016-01-01,3,73,False,DE
2016-02-01,4,70,False,DE
2016-03-01,2,62,False,DE
2016-04-01,2,67,False,DE
2016-05-01,3,68,False,DE
2016-06-01,2,53,False,DE
2016-07-01,0,54,False,DE
2016-08-01,0,41,False,DE
2016-09-01,2,58,False,DE
2016-10-01,2,69,False,DE
2016-11-01,2,68,False,DE
2016-12-01,0,77,False,DE
2017-01-01,5,87,False,DE
2017-02-01,3,56,False,DE
2017-03-01,3,85,False,DE
2017-04-01,2,80,False,DE
2017-05-01,5,65,False,DE
2017-06-01,2,64,False,DE
2017-07-01,2,55,False,DE
2017-08-01,0,50,False,DE
2017-09-01,0,60,False,DE
2017-10-01,1,78,False,DE
2017-11-01,1,66,False,DE
2017-12-01,1,54,False,DE
2018-01-01,1,62,False,DE
2018-02-01,9,58,False,DE
2018-03-01,3,65,False,DE
