date,porn,isPartial,State
2016-05-29,78,False,CA
2016-06-05,74,False,CA
2016-06-12,78,False,CA
2016-06-19,76,False,CA
2016-06-26,78,False,CA
2016-07-03,79,False,CA
2016-07-10,79,False,CA
2016-07-17,79,False,CA
2016-07-24,79,False,CA
2016-07-31,78,False,CA
2016-08-07,77,False,CA
2016-08-14,76,False,CA
2016-08-21,74,False,CA
2016-08-28,74,False,CA
2016-09-04,73,False,CA
2016-09-11,71,False,CA
2016-09-18,72,False,CA
2016-09-25,71,False,CA
2016-10-02,70,False,CA
2016-10-09,73,False,CA
2016-10-16,74,False,CA
2016-10-23,70,False,CA
2016-10-30,71,False,CA
2016-11-06,67,False,CA
2016-11-13,68,False,CA
2016-11-20,72,False,CA
2016-11-27,67,False,CA
2016-12-04,67,False,CA
2016-12-11,70,False,CA
2016-12-18,73,False,CA
2016-12-25,75,False,CA
2017-01-01,73,False,CA
2017-01-08,66,False,CA
2017-01-15,67,False,CA
2017-01-22,65,False,CA
2017-01-29,66,False,CA
2017-02-05,69,False,CA
2017-02-12,67,False,CA
2017-02-19,66,False,CA
2017-02-26,65,False,CA
2017-03-05,63,False,CA
2017-03-12,66,False,CA
2017-03-19,64,False,CA
2017-03-26,69,False,CA
2017-04-02,66,False,CA
2017-04-09,68,False,CA
2017-04-16,68,False,CA
2017-04-23,67,False,CA
2017-04-30,65,False,CA
2017-05-07,68,False,CA
2017-05-14,65,False,CA
2017-05-21,67,False,CA
2017-05-28,68,False,CA
2017-06-04,68,False,CA
2017-06-11,69,False,CA
2017-06-18,71,False,CA
2017-06-25,71,False,CA
2017-07-02,76,False,CA
2017-07-09,70,False,CA
2017-07-16,75,False,CA
2017-07-23,73,False,CA
2017-07-30,69,False,CA
2017-08-06,69,False,CA
2017-08-13,65,False,CA
2017-08-20,65,False,CA
2017-08-27,62,False,CA
2017-09-03,63,False,CA
2017-09-10,63,False,CA
2017-09-17,64,False,CA
2017-09-24,64,False,CA
