date,harry potter,isPartial,State
2015-11-15,24,False,CA
2015-11-22,24,False,CA
2015-11-29,28,False,CA
2015-12-06,27,False,CA
2015-12-13,32,False,CA
2015-12-20,40,False,CA
2015-12-27,42,False,CA
2016-01-03,31,False,CA
2016-01-10,41,False,CA
2016-01-17,31,False,CA
2016-01-24,28,False,CA
2016-01-31,29,False,CA
2016-02-07,39,False,CA
2016-02-14,33,False,CA
2016-02-21,34,False,CA
2016-02-28,36,False,CA
2016-03-06,40,False,CA
2016-03-13,33,False,CA
2016-03-20,39,False,CA
2016-03-27,39,False,CA
2016-04-03,45,False,CA
2016-04-10,44,False,CA
2016-04-17,36,False,CA
2016-04-24,38,False,CA
2016-05-01,36,False,CA
2016-05-08,39,False,CA
2016-05-15,37,False,CA
2016-05-22,37,False,CA
2016-05-29,49,False,CA
2016-06-05,39,False,CA
2016-06-12,39,False,CA
2016-06-19,37,False,CA
2016-06-26,37,False,CA
2016-07-03,39,False,CA
2016-07-10,34,False,CA
2016-07-17,34,False,CA
2016-07-24,51,False,CA
2016-07-31,100,False,CA
2016-08-07,47,False,CA
2016-08-14,39,False,CA
2016-08-21,35,False,CA
2016-08-28,39,False,CA
2016-09-04,50,False,CA
2016-09-11,34,False,CA
2016-09-18,35,False,CA
2016-09-25,33,False,CA
2016-10-02,40,False,CA
2016-10-09,42,False,CA
2016-10-16,48,False,CA
2016-10-23,41,False,CA
2016-10-30,40,False,CA
2016-11-06,34,False,CA
2016-11-13,49,False,CA
2016-11-20,62,False,CA
2016-11-27,48,False,CA
2016-12-04,44,False,CA
2016-12-11,41,False,CA
2016-12-18,44,False,CA
2016-12-25,49,False,CA
2017-01-01,48,False,CA
2017-01-08,36,False,CA
2017-01-15,34,False,CA
2017-01-22,32,False,CA
2017-01-29,32,False,CA
2017-02-05,33,False,CA
2017-02-12,31,False,CA
2017-02-19,35,False,CA
2017-02-26,29,False,CA
2017-03-05,32,False,CA
2017-03-12,28,False,CA
2017-03-19,31,False,CA
2017-03-26,31,False,CA
2017-04-02,31,False,CA
2017-04-09,31,False,CA
2017-04-16,26,False,CA
2017-04-23,27,False,CA
2017-04-30,32,False,CA
2017-05-07,28,False,CA
2017-05-14,27,False,CA
2017-05-21,31,False,CA
2017-05-28,33,False,CA
2017-06-04,32,False,CA
2017-06-11,27,False,CA
2017-06-18,30,False,CA
2017-06-25,55,False,CA
2017-07-02,35,False,CA
2017-07-09,31,False,CA
2017-07-16,30,False,CA
2017-07-23,34,False,CA
2017-07-30,39,False,CA
2017-08-06,30,False,CA
2017-08-13,32,False,CA
2017-08-20,27,False,CA
2017-08-27,29,False,CA
2017-09-03,31,False,CA
2017-09-10,27,False,CA
2017-09-17,28,False,CA
2017-09-24,34,False,CA
