date,brownie recipe,isPartial,State
2016-02-28,53,False,CA
2016-03-06,35,False,CA
2016-03-13,36,False,CA
2016-03-20,37,False,CA
2016-03-27,37,False,CA
2016-04-03,36,False,CA
2016-04-10,25,False,CA
2016-04-17,50,False,CA
2016-04-24,54,False,CA
2016-05-01,32,False,CA
2016-05-08,48,False,CA
2016-05-15,55,False,CA
2016-05-22,45,False,CA
2016-05-29,42,False,CA
2016-06-05,45,False,CA
2016-06-12,38,False,CA
2016-06-19,69,False,CA
2016-06-26,38,False,CA
2016-07-03,53,False,CA
2016-07-10,35,False,CA
2016-07-17,55,False,CA
2016-07-24,46,False,CA
2016-07-31,40,False,CA
2016-08-07,41,False,CA
2016-08-14,41,False,CA
2016-08-21,56,False,CA
2016-08-28,42,False,CA
2016-09-04,61,False,CA
2016-09-11,41,False,CA
2016-09-18,55,False,CA
2016-09-25,30,False,CA
2016-10-02,26,False,CA
2016-10-09,32,False,CA
2016-10-16,47,False,CA
2016-10-23,36,False,CA
2016-10-30,26,False,CA
2016-11-06,48,False,CA
2016-11-13,36,False,CA
2016-11-20,64,False,CA
2016-11-27,48,False,CA
2016-12-04,53,False,CA
2016-12-11,83,False,CA
2016-12-18,74,False,CA
2016-12-25,47,False,CA
2017-01-01,51,False,CA
2017-01-08,41,False,CA
2017-01-15,41,False,CA
2017-01-22,57,False,CA
2017-01-29,67,False,CA
2017-02-05,49,False,CA
2017-02-12,55,False,CA
2017-02-19,40,False,CA
2017-02-26,35,False,CA
2017-03-05,59,False,CA
2017-03-12,56,False,CA
2017-03-19,50,False,CA
2017-03-26,55,False,CA
2017-04-02,57,False,CA
2017-04-09,45,False,CA
2017-04-16,24,False,CA
2017-04-23,47,False,CA
2017-04-30,43,False,CA
2017-05-07,44,False,CA
2017-05-14,71,False,CA
2017-05-21,36,False,CA
2017-05-28,52,False,CA
2017-06-04,54,False,CA
2017-06-11,26,False,CA
2017-06-18,32,False,CA
2017-06-25,37,False,CA
2017-07-02,55,False,CA
2017-07-09,33,False,CA
2017-07-16,33,False,CA
2017-07-23,33,False,CA
2017-07-30,54,False,CA
2017-08-06,50,False,CA
2017-08-13,36,False,CA
2017-08-20,45,False,CA
2017-08-27,48,False,CA
2017-09-03,57,False,CA
2017-09-10,37,False,CA
2017-09-17,51,False,CA
